114ceaa78ae7,e1e85aa3-cb8c-4c7b-8ea2-654161afa5eb,95dae6dd-a5b3-44c7-965f-15ce269a4dfd,50,0.008743662834167481,0.007754325866699219,0.005059003829956055,0.01609039306640625
b85e8e3188e8,986dadb7-a4eb-409c-959a-eb91f4b18704,26b496a8-d4b4-40f3-a0c6-be1b9bdebff7,39,0.007039883197882237,0.0064237117767333984,0.0046176910400390625,0.01302647590637207
3fa84c660597,e6e822e8-c15c-4c24-834c-8b7d752bec48,baa0cb1d-3c8b-4d89-b934-53fe86199c1d,17,0.028324351591222426,0.023399829864501953,0.01689291000366211,0.10660004615783691
25db2545aac8,e6e822e8-c15c-4c24-834c-8b7d752bec48,48e48461-ff6e-4c68-96d9-5157575b681e,17,0.02863613296957577,0.021365880966186523,0.016167640686035156,0.13010191917419434
3fa84c660597,e6e822e8-c15c-4c24-834c-8b7d752bec48,531bd771-8d4b-4779-b800-4ec6420c0fc2,17,0.028947886298684514,0.02325153350830078,0.01814103126525879,0.11045145988464355
25db2545aac8,e6e822e8-c15c-4c24-834c-8b7d752bec48,d905c981-0152-40f1-8910-2631f7340dd9,18,0.027232435014512803,0.022989273071289062,0.01634979248046875,0.10140681266784668
b3b5e4f11797,e6e822e8-c15c-4c24-834c-8b7d752bec48,c2d33a66-57de-4845-b936-71ae1b0a762b,17,0.028530261095832374,0.02198338508605957,0.016312599182128906,0.1072847843170166
b3b5e4f11797,e6e822e8-c15c-4c24-834c-8b7d752bec48,6cf47b0b-2f08-40e5-8992-05e1cf00b9a4,17,0.029556484783397,0.02080392837524414,0.017806291580200195,0.14943385124206543
5180aaac5c00,e6e822e8-c15c-4c24-834c-8b7d752bec48,97666333-64a8-45ee-accb-67d0f2ca81af,17,0.029638879439410043,0.02221846580505371,0.019273996353149414,0.13126587867736816
3fa84c660597,e6e822e8-c15c-4c24-834c-8b7d752bec48,bfe1cdeb-3cbd-402e-a3a5-9131531a70e3,17,0.02888319071601419,0.03125166893005371,0.010584115982055664,0.0408017635345459
dd8cdeae73fa,365ea922-f1fc-4aa1-a93f-c465ae75b3a3,0fb81ad2-271c-49b2-afc7-5f2d6273e96a,14,0.03454068728855678,0.03746914863586426,0.01810741424560547,0.05339384078979492
0a2448cc64f4,365ea922-f1fc-4aa1-a93f-c465ae75b3a3,5837daf4-da97-44f4-b8b7-1653f1c5dda1,12,0.04099436601003011,0.0317537784576416,0.0212857723236084,0.14249205589294434
3e2b81e762f7,365ea922-f1fc-4aa1-a93f-c465ae75b3a3,19714b59-d870-4561-badc-9553820182e0,14,0.03451546600886753,0.0295407772064209,0.019969701766967773,0.06075763702392578
3e2b81e762f7,365ea922-f1fc-4aa1-a93f-c465ae75b3a3,393273bb-155b-4945-b821-d1362364681e,12,0.04200861851374308,0.02945423126220703,0.01909804344177246,0.1709427833557129
1707e003fdb9,365ea922-f1fc-4aa1-a93f-c465ae75b3a3,983f79e6-1fda-4e08-8a0a-7e582769db7b,15,0.03210612932840983,0.028943300247192383,0.020661115646362305,0.05440640449523926
